Mes,Dia,Nivel_Mean
1,1,44.14286
1,2,43.83
1,3,43.95556
1,4,44.01111
1,5,43.93
1,6,44.06667
1,7,43.99
1,8,44.1
1,9,44.08889
1,10,44.2
1,11,44.27778
1,12,44.26
1,13,44.3
1,14,44.54444
1,15,44.7125
1,16,44.45556
1,17,44.48
1,18,44.55
1,19,44.58
1,20,44.58
1,21,44.6
1,22,44.56
1,23,44.55
1,24,44.58889
1,25,44.56667
1,26,44.6
1,27,44.66
1,28,44.64
1,29,44.925
1,30,44.9
1,31,44.76667
2,1,44.53333
2,2,44.51111
2,3,44.51111
2,4,44.725
2,5,44.725
2,6,44.7375
2,7,44.7125
2,8,44.775
2,9,44.8
2,10,44.825
2,11,44.875
2,12,44.775
2,13,44.825
2,14,44.8625
2,15,44.875
2,16,45.4875
2,17,45.4625
2,18,45.5375
2,19,45.5875
2,20,45.675
2,21,45.725
2,22,45.7875
2,23,45.8625
2,24,45.95
2,25,46.0375
2,26,46.0625
2,27,46.0875
2,28,46.0625
2,29,46
3,1,45.91
3,2,45.94
3,3,46.02
3,4,46.06
3,5,46.09
3,6,46.09
3,7,46.12
3,8,46.12
3,9,46.16
3,10,46.15
3,11,46.15
3,12,46.17
3,13,46.18
3,14,46.18
3,15,46.2
3,16,46.24
3,17,46.24
3,18,46.26
3,19,46.28
3,20,46.31
3,21,46.32
3,22,46.27
3,23,46.28
3,24,46.26
3,25,46.22
3,26,46.21
3,27,46.21
3,28,46.19
3,29,46.18
3,30,46.18
3,31,46.21
4,1,46.26
4,2,46.28
4,3,46.36
4,4,46.32
4,5,46.29
4,6,46.32
4,7,46.33
4,8,46.32
4,9,46.3
4,10,46.29
4,11,46.27
4,12,46.23
4,13,46.22
4,14,46.21
4,15,46.17
4,16,46.16
4,17,46.17
4,18,46.13
4,19,46.14
4,20,46.13
4,21,46.14
4,22,46.16
4,23,46.19
4,24,46.18
4,25,46.17
4,26,46.21
4,27,46.2
4,28,46.18
4,29,46.16
4,30,46.17
5,1,46.2
5,2,46.17778
5,3,46.17778
5,4,46.15556
5,5,46.14444
5,6,46.15556
5,7,46.14444
5,8,46.13333
5,9,46.14444
5,10,46.12222
5,11,46.11111
5,12,46.1
5,13,46.1
5,14,46.11111
5,15,46.06667
5,16,46.07778
5,17,46.08889
5,18,46.05556
5,19,46.04444
5,20,46.05556
5,21,46.02222
5,22,46.02222
5,23,46
5,24,45.88889
5,25,45.94
5,26,45.925
5,27,45.93333
5,28,45.9
5,29,45.88889
5,30,45.87778
5,31,45.7875
6,1,45.86667
6,2,45.86667
6,3,45.84444
6,4,45.86667
6,5,45.86667
6,6,45.85556
6,7,45.82222
6,8,45.77778
6,9,45.76667
6,10,45.73333
6,11,45.71111
6,12,45.71111
6,13,45.68889
6,14,45.65556
6,15,45.65556
6,16,45.64444
6,17,45.61111
6,18,45.56667
6,19,45.54444
6,20,45.53333
6,21,45.52222
6,22,45.51111
6,23,45.47778
6,24,45.47778
6,25,45.45556
6,26,45.43333
6,27,45.44444
6,28,45.44444
6,29,45.41111
6,30,45.4
7,1,45.46
7,2,45.33
7,3,45.3
7,4,45.29
7,5,45.27
7,6,45.17778
7,7,45.15556
7,8,45.1375
7,9,45.1125
7,10,45.18889
7,11,45.21
7,12,45.21
7,13,45.0625
7,14,45.11111
7,15,45.15
7,16,45.08889
7,17,45.06667
7,18,45.05556
7,19,44.975
7,20,44.9625
7,21,45.02222
7,22,45.07
7,23,44.98889
7,24,44.98889
7,25,45.01
7,26,44.98
7,27,44.98
7,28,44.97
7,29,44.93
7,30,44.9
7,31,44.81429
8,1,44.85
8,2,44.85
8,3,44.84
8,4,44.79
8,5,44.78
8,6,44.75
8,7,44.72
8,8,44.71
8,9,44.7
8,10,44.64444
8,11,44.61111
8,12,44.63
8,13,44.59
8,14,44.57
8,15,44.54
8,16,44.5
8,17,44.46667
8,18,44.43333
8,19,44.42222
8,20,44.41
8,21,44.38
8,22,44.36
8,23,44.33
8,24,44.32222
8,25,44.26667
8,26,44.26
8,27,44.23
8,28,44.21
8,29,44.18
8,30,44.04444
8,31,44.04286
9,1,44.11111
9,2,44.06
9,3,44.04
9,4,44.02
9,5,43.98
9,6,43.96
9,7,43.98889
9,8,43.95556
9,9,43.92
9,10,43.91
9,11,43.89
9,12,43.88
9,13,43.85
9,14,43.85556
9,15,43.82222
9,16,43.78
9,17,43.76
9,18,43.72
9,19,43.7
9,20,43.7
9,21,43.72222
9,22,43.7
9,23,43.61
9,24,43.58
9,25,43.57
9,26,43.54
9,27,43.5
9,28,43.53333
9,29,43.53333
9,30,43.48889
10,1,43.51
10,2,43.49
10,3,43.49
10,4,43.43
10,5,43.44444
10,6,43.44444
10,7,43.47
10,8,43.43
10,9,43.43
10,10,43.41
10,11,43.4
10,12,43.36667
10,13,43.34444
10,14,43.42222
10,15,43.31
10,16,43.33
10,17,43.32
10,18,43.33
10,19,43.3
10,20,43.27778
10,21,43.27
10,22,43.28
10,23,43.29
10,24,43.3
10,25,43.3
10,26,43.31111
10,27,43.31111
10,28,43.33
10,29,43.33
10,30,43.35
10,31,43.41
11,1,43.34
11,2,43.51111
11,3,43.52222
11,4,43.36
11,5,43.38
11,6,43.41
11,7,43.44
11,8,43.47
11,9,43.72222
11,10,43.74444
11,11,43.76667
11,12,43.56
11,13,43.61
11,14,43.61
11,15,43.63
11,16,43.65
11,17,43.62
11,18,43.63
11,19,43.63
11,20,43.62
11,21,43.64
11,22,43.63
11,23,43.64
11,24,43.64
11,25,43.64
11,26,43.65
11,27,43.65
11,28,43.72
11,29,43.75
11,30,43.96667
12,1,44.22857
12,2,44.0625
12,3,44.24286
12,4,44.28571
12,5,44.2
12,6,44.38571
12,7,44.275
12,8,44.38571
12,9,44.2625
12,10,44.37143
12,11,44.38571
12,12,44.2625
12,13,44.25
12,14,44.2625
12,15,44.2375
12,16,44.225
12,17,44.225
12,18,44.25
12,19,44.2625
12,20,44.2625
12,21,44.25
12,22,44.2375
12,23,44.2125
12,24,44.3
12,25,44.3
12,26,44.37143
12,27,44.65
12,28,44.51429
12,29,44.31667
12,30,44.12
12,31,44